"order_month","product_category_name","order_count"
"2018-08","eletrodomesticos_2","16"
"2018-07","construcao_ferramentas_seguranca","15"
"2017-09","livros_interesse_geral","15"
"2018-07","portateis_casa_forno_e_cafe","15"
"2017-10","telefonia_fixa","15"
"2017-10","moveis_cozinha_area_de_servico_jantar_e_jardim","15"
"2018-06","climatizacao","15"
"2018-02","sinalizacao_e_seguranca","15"
"2017-08","alimentos_bebidas","15"
"2017-12","alimentos","15"
"2018-07","industria_comercio_e_negocios","15"
"2018-02","audio","15"
"2017-01","pet_shop","15"
"2017-08","fashion_roupa_masculina","15"
"2017-12","casa_conforto","15"
"2018-04","pcs","15"
"2017-12","market_place","14"
"2017-03","fashion_calcados","14"
"2018-01","market_place","14"
"2018-05","market_place","14"
"2017-01","papelaria","14"
"2018-04","portateis_casa_forno_e_cafe","14"
"2018-04","market_place","14"
"2017-09","fashion_calcados","14"
"2018-06","pcs","14"
"2018-03","telefonia_fixa","14"
"2018-08","artigos_de_festas","14"
"2016-10","bebes","14"
"2018-08","construcao_ferramentas_ferramentas","14"
"2017-11","construcao_ferramentas_seguranca","14"
"2017-03","audio","14"
"2018-02","construcao_ferramentas_iluminacao","14"
"2017-12","fashion_underwear_e_moda_praia","14"
"2017-08","fashion_underwear_e_moda_praia","13"
"2017-07","market_place","13"
"2018-03","fashion_calcados","13"
"2018-03","eletrodomesticos_2","13"
"2018-05","moveis_cozinha_area_de_servico_jantar_e_jardim","13"
"2018-05","pcs","13"
"2017-10","bebidas","13"
"2018-06","cine_foto","13"
"2017-11","eletrodomesticos_2","13"
"2018-02","tablets_impressao_imagem","13"
"2018-02","artes","13"
"2017-03","casa_conforto","13"
"2017-04","moveis_sala","13"
"2018-08","pcs","13"
"2016-10","market_place","13"
"2018-03","artigos_de_natal","12"
"2017-10","climatizacao","12"
"2018-02","telefonia_fixa","12"
"2018-08","moveis_quarto","12"
"2017-04","livros_interesse_geral","12"
"2016-10","automotivo","12"
"2017-11","fashion_roupa_masculina","12"
"2017-10","construcao_ferramentas_seguranca","12"
"2017-02","climatizacao","12"
"2016-10",NULL,"12"
"2017-07","livros_interesse_geral","12"
"2017-06","telefonia_fixa","12"
"2016-10","utilidades_domesticas","12"
"2018-01","pcs","12"
"2018-03","moveis_cozinha_area_de_servico_jantar_e_jardim","12"
"2017-12","fashion_calcados","12"
"2017-09","market_place","12"
"2018-02","construcao_ferramentas_ferramentas","12"
"2017-10","artigos_de_natal","12"
"2018-02","climatizacao","12"
"2018-07","construcao_ferramentas_ferramentas","12"
"2018-01","eletrodomesticos_2","12"
"2018-01","alimentos_bebidas","11"
"2018-06","construcao_ferramentas_jardim","11"
"2018-06","fashion_calcados","11"
"2017-01","eletronicos","11"
"2017-06","audio","11"
"2017-07","moveis_cozinha_area_de_servico_jantar_e_jardim","11"
"2018-07","artes_e_artesanato","11"
"2017-11","pcs","11"
"2017-10","market_place","11"
"2017-04","audio","11"
"2017-10","fashion_roupa_masculina","11"
"2017-04","telefonia_fixa","11"
"2017-06","climatizacao","11"
"2017-09","moveis_sala","11"
"2018-08","artigos_de_natal","11"
"2018-04","agro_industria_e_comercio","11"
"2018-04","artigos_de_natal","11"
"2018-07","telefonia_fixa","11"
"2017-09","construcao_ferramentas_construcao","11"
"2017-12","agro_industria_e_comercio","11"
"2017-09","casa_construcao","11"
"2018-04","telefonia_fixa","11"
"2017-01","relogios_presentes","11"
"2018-05","fashion_calcados","11"
"2016-10","telefonia","11"
"2018-05","portateis_casa_forno_e_cafe","11"
